source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
96-767-6,Бухало Анна Борисовна,1985-09-10,"общероссийская общественная организация ""Молодая инновационная Россия"", руководитель.",,,,,,,,,
96-767-6,Быков Виктор Александрович,1950-09-19,"ФГУП ""НИИ физических проблем им. Ф.В. Лукина"", и.о. директора.",,,,,,,,,
96-767-6,Быковская Надежда Николаевна,1958-02-19,"автономное учреждение Республики Коми ""Редакция газеты ""Коми му"", директор.",,,,,,,,,
96-767-6,Быхан Николай Иванович,1954-07-28,"сельскохозяйственный производственный кооператив ""Рыболовецкий колхоз ""Победа"", председатель.",,,,,,,,,
96-767-6,Бычков Игорь Вячеславович,1961-05-08,"учреждение Российской академии наук ""Иркутский научный центр Сибирского отделения РАН"" (ИНЦ СО РАН), председатель Президиума ИНЦ СО РАН.",,,,,,,,,
96-767-6,Вавилов Геннадий Алексеевич,1932-05-07,"Петрозаводская государственная консерватория (академия) имени А.К. Глазунова, профессор.",,,,,,,,,
96-767-6,Ваганов Николай Николаевич,1941-10-24,"ФГУ ""Российская детская клиническая больница"", главный врач.",,,,,,,,,
96-767-6,Валентинова Надежда Васильевна,1951-07-16,"общество с ограниченной ответственностью ""Строительно-монтажное управление курорта"", штукатур-маляр.",,,,,,,,,
96-767-6,Варламов Кирилл Викторович,1974-02-10,"ООО ""Наумен консалтинг"", генеральный директор.",,,,,,,,,
96-767-6,Василевский Петр Никитович,1955-12-31,"Псковское региональное (областное) отделение Общероссийской общественной организации ""Российский Красный Крест"", председатель регионального отделения.",,,,,,,,,
96-767-6,Вележева Лидия Леонидовна,1966-10-02,"Академический театр им. Евгения Вахтангова, актриса.",,,,,,,,,
96-767-6,Велихов Евгений Павлович,1935-02-02,"Национальный исследовательский центр ""Курчатовский институт"", президент.",,,,,,,,,
96-767-6,Веретенников Олег Александрович,1970-01-05,"государственное автономное учреждение Волгоградской области ""Футбольный клуб ""Ротор"", старший тренер.",,,,,,,,,
96-767-6,Винер-Усманова Ирина Александровна,1948-07-30,"федеральное государственное бюджетное учреждение ""Центр спортивной подготовки сборных команд России"", главный тренер.",,,,,,,,,
96-767-6,Виницкий Владимир Григорьевич,1961-07-08,"Тамбовское областное государственное бюджетное учреждение здравоохранения ""Городская клиническая больница №3"", главный врач.",,,,,,,,,
96-767-6,Власова Татьяна Филипповна,1952-02-16,"ГОУ гимназия №1582, директор.",,,,,,,,,
96-767-6,Водолацкий Виктор Петрович,1957-08-19,"Войсковое казачье общество ""Всевеликое войско Донское"", атаман.",,,,,,,,,
96-767-6,Волков Виталий Юрьевич,1965-06-17,"филиал ВГТРК-ГТРК ""Санкт-Петербург"", директор.",,,,,,,,,
96-767-6,Волкова Полина Петровна,1959-07-23,"государственное бюджетное учреждение Республики Марий Эл ""Республиканский противотуберкулезный диспансер"", главная медицинская сестра.",,,,,,,,,
96-767-6,Волынов Борис Валентинович,1934-12-18,пенсионер.,,,,,,,,,
96-767-6,Востротин Валерий Александрович,1952-11-20,временно неработающий.,,,,,,,,,
96-767-6,Высоцкий Валерий Александрович,1951-08-11,"ГНУ Всероссийский селекционно-технологический институт садоводства и питомниководства Россельхозакадемии, заместитель директора по научной работе.",,,,,,,,,
96-767-6,Гаврилова Вера Титовна,1944-08-21,пенсионер.,,,,,,,,,
96-767-6,Гавриченкова Алина Евгеньевна,1958-01-03,"крестьянское (фермерское) хозяйство ""Вевас"", глава.",,,,,,,,,
96-767-6,Газзаев Валерий Георгиевич,1954-08-07,"государственное автономное учреждение ""Профессиональный футбольный клуб ""Алания"", президент.",,,,,,,,,
96-767-6,Гайдарбеков Гайдарбек Абдулаевич,1976-10-06,"Министерство по физической культуре и спорту Республики Дагестан, главный тренер сборной команды по боксу РД.",,,,,,,,,
96-767-6,Гамзатов Гамзат Магомедович,1938-08-25,"Общественная палата Республики Дагестан, председатель.",,,,,,,,,
96-767-6,Гапуров Шахрудин Айдиевич,1951-01-06,"Академия наук Чеченской Республики, президент.",,,,,,,,,
96-767-6,Гафуров Ильшат Рафкатович,1961-08-01,"ФГАОУ ВПО ""Казанский (Приволжский) федеральный университет"", ректор.",,,,,,,,,
96-767-6,Герасимова Ольга Владимировна,1951-12-02,"ТСЖ СТЖК ""Кардиолог"", оператор паспортного стола.",,,,,,,,,
96-767-6,Гергиев Валерий Абисалович,1953-05-02,"федеральное государственное бюджетное учреждение культуры ""Государственный академический Мариинский театр"", художественный руководитель — директор.",,,,,,,,,
96-767-6,Глозман Александр Евгеньевич,1964-12-08,"государственное бюджетное образовательное учреждение города Москвы ""Центр образования №293"", директор.",,,,,,,,,
96-767-6,Глушкова Божена Игоревна,1967-07-10,"городская поликлиника №20, главный врач.",,,,,,,,,
96-767-6,Глыбочко Петр Витальевич,1964-07-21,"государственное бюджетное образовательное учреждение высшего профессионального образования «Первый Московский государственный медицинский университет им. И.М. Сеченова Минздравсоцразвития России», ректор.",,,,,,,,,
96-767-6,Гоголева Елена Михайловна,1946-08-20,"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Северо-Восточный государственный университет"", профессор кафедры русского языка.",,,,,,,,,
96-767-6,Голикова Ираида Федоровна,1947-03-09,"Мордовская региональная общественная организация ""Комитет солдатский матерей"", председатель.",,,,,,,,,
96-767-6,Голоусиков Иван Яковлевич,1950-11-08,"государственное бюджетное учреждение ""Городская больница №3 Департамента здравоохранения города Москвы"", главный врач.",,,,,,,,,
96-767-6,Голухов Георгий Натанович,1960-07-24,"городская клиническая больница №31, главный врач.",,,,,,,,,
96-767-6,Гончаров Сергей Федорович,1949-10-19,"ФГБУ ""Всероссийский центр медицины катастроф ""Защита"", директор.",,,,,,,,,
96-767-6,Гончаров Юрий Федорович,1963-05-30,"Торгово-промышленная палата Воронежской области, президент.",,,,,,,,,
96-767-6,Горбачева Наталия Борисовна,1949-07-24,"ГОУ Центр развития ребенка — детский сад №1787, заведующая.",,,,,,,,,
96-767-6,Гордзейко Тамара Васильевна,1953-06-16,"ГБОУ СОШ №498 ЦАО, директор.",,,,,,,,,
96-767-6,Горожанов Игорь Георгиевич,1965-01-15,"Сахалинский региональный молодежный военно-патриотический общественный фонд ""Пионер"", председатель.",,,,,,,,,
96-767-6,Горохов Николай Анатольевич,1950-12-17,"государственное автономное учреждение культуры Владимирской области ""Владимирский академический областной драматический театр"", художественный руководитель театра-студии.",,,,,,,,,
96-767-6,Горюнова Ольга Владимировна,1946-10-23,пенсионер.,,,,,,,,,
96-767-6,Горячев Николай Анатольевич,1953-07-11,"федеральное государственное бюджетное учреждение науки ""Северо-Восточный комплексный научно-исследовательский институт Дальневосточного отделения Российской академии наук"", директор.",,,,,,,,,
96-767-6,Гостищев Владислав Дмитриевич,1940-11-17,"ОГБУК ""Костромской драматический театр имени А.Н.Островского"", ведущий мастер сцены.",,,,,,,,,
96-767-6,Готье Сергей Владимирович,1947-09-23,"ФГБУ «Федеральный научный центр трансплантологии и искусственных органов имени академика В.И. Шумакова» Минздравсоцразвития России, директор.",,,,,,,,,
96-767-6,Гочияев Борис Хаджи-Ахматович,1949-01-01,"ОАО ""Карачаево-Черкесский сахарный завод"", менеджер по связям с общественностью.",,,,,,,,,
96-767-6,Григорович Дмитрий Николаевич,1945-01-13,пенсионер.,,,,,,,,,
96-767-6,Гриценко Владимир Петрович,1965-03-22,"федеральное государственное бюджетное учреждение культуры ""Государственный военно-исторический и природный музей-заповедник ""Куликово поле"", директор.",,,,,,,,,
96-767-6,Гришин Виктор Иванович,1951-02-17,"ФГБОУ ВПО ""Российский экономический университет им. Г.В. Плеханова"", ректор.",,,,,,,,,
96-767-6,Гришин Вячеслав Леонидович,1951-08-13,"Общероссийский союз общественных объединений ""Союз ""Чернобыль"" России"", президент.",,,,,,,,,
96-767-6,Громова Ирина Владимировна,1985-07-23,"краевое государственное бюджетное учреждение ""Краевой спортивный клуб"", спортсмен-инструктор.",,,,,,,,,
96-767-6,Грушин Сергей Николаевич,1961-09-18,"бюджетное общеобразовательное учреждение дополнительного образования детей Республики Алтай ""Специализированная детско-юношеская спортивная школа"" , директор.",,,,,,,,,
96-767-6,Губин Александр Вадимович,1973-12-03,"федеральное государственное бюджетное учреждение ""Российский научный центр ""Восстановительная травматология и ортопедия"" им. академика Г.А. Илизарова"" Минздравсоцразвития России, директор.",,,,,,,,,
96-767-6,Гуляев Николай Алексеевич,1966-01-01,"ГКУ ""Центр спортивных инновационных технологий и подготовки сборных команд Москомспорта"", заместитель директора.",,,,,,,,,
96-767-6,Гурьянова Надежда Павловна,1957-01-01,"КОГБУК ""Кировская ордена Почета государственная универсальная областная научная библиотека имени А.И.Герцена"", директор.",,,,,,,,,
96-767-6,Гусев Анатолий Васильевич,1947-02-12,"открытое акционерное общество ""Тяжпрессмаш"", город Рязань, фрезеровщик пятого разряда.",,,,,,,,,
96-767-6,Гусев Владимир Александрович,1945-04-25,"федеральное государственное учреждение культуры ""Государственный Русский музей"", директор.",,,,,,,,,
96-767-6,Гусев Павел Николаевич,1949-04-04,"ЗАО ""Редакция газеты ""Московский Комсомолец"", генеральный директор — главный редактор.",,,,,,,,,
96-767-6,Густов Сергей Вадимович,1969-10-12,"ОАО ""Газпром газораспределение"", генеральный директор.",,,,,,,,,
96-767-6,Гуськов Алексей Геннадьевич,1958-05-20,"ЗАО ""Студия Ф.А.Ф."", заместитель генерального директора.",,,,,,,,,
96-767-6,Давыдов Борис Николаевич,1939-05-10,"ГБОУ ВПО Тверская ГМА Минздравсоцразвития России ""Тверская государственная медицинская академия"", президент.",,,,,,,,,
96-767-6,Давыдов Виталий Семенович,1939-04-03,"Хоккейный клуб ""Динамо"" (Москва), вице-президент.",,,,,,,,,
96-767-6,Дагбаев Эрдэм Данзанович,1961-11-01,"государственное унитарное предприятие ""Издательский дом ""Буряад унэн"", генеральный директор.",,,,,,,,,
96-767-6,Даненберг Мария Освальдовна,1952-05-01,"Библиотека семейного чтения №114 ГБУК г. Москвы ЦБС ""Юго-запад"", заведующая.",,,,,,,,,
96-767-6,Даржа Куулар Дугаржапович,1932-10-05,пенсионер.,,,,,,,,,
96-767-6,Дашкевич Роман Александрович,1975-11-29,"первичная профсоюзная организация студентов федерального государственного учреждения ""Государственный университет — учебно-научно-производственный комплекс"", председатель профкома студентов.",,,,,,,,,
96-767-6,Демидов Владимир Васильевич,1954-04-05,"филиал ""Абаканская ТЭЦ"" открытого акционерного общества ""Енисейская территориальная генерирующая компания (ТГК-13)"", начальник электрического цеха.",,,,,,,,,
96-767-6,Добашин Алексей Алексеевич,1961-12-08,"ООО ПСФ ""Крост"", генеральный директор.",,,,,,,,,
96-767-6,Доброскок Александр Михайлович,1982-06-12,"МБОУДОД г. Бузулука ""Специализированная детско-юношеская спортивная школа олимпийского резерва"", спортсмен-инструктор.",,,,,,,,,
96-767-6,Долгов Алексей Борисович,1988-09-09,"ГБОУ ВПО Саратовский государственный медицинский университет имени В.И.Разумовского Министерства здравоохранения и социального развития РФ, врач-интерн, ординатор.",,,,,,,,,
96-767-6,Дубровский Владимир Федорович,1948-02-19,"Региональное отделение Общероссийской общественной организации ""Союз пенсионеров России"" в Челябинской области, заместитель председателя Правления, исполнительный директор.",,,,,,,,,
96-767-6,Дудко Анастасия Николаевна,1984-05-06,"ООО ""Бонус"", город Рязань, руководитель детского направления.",,,,,,,,,
96-767-6,Евдокимова Галина Михайловна,1942-12-28,пенсионер.,,,,,,,,,
96-767-6,Евсеенко Николай Иванович,1950-01-20,"краевое государственное автономное учреждение культуры ""Хабаровский краевой театр драмы и комедии"", художественный руководитель.",,,,,,,,,
96-767-6,Жилин Михаил Иванович,1953-11-25,"ООО ""Интер Шарм"", генеральный директор.",,,,,,,,,
96-767-6,Жирков Юрий Валентинович,1983-08-20,спортсмен.,,,,,,,,,
96-767-6,Жуков Василий Иванович,1947-04-01,"Российский государственный социальный университет, ректор.",,,,,,,,,
96-767-6,Жуков Иван Федосеевич,1940-07-04,пенсионер.,,,,,,,,,
96-767-6,Забаровский Владимир Иванович,1952-08-04,"ФГБУК РФ ""Центральный музей Великой Отечественной войны 1941 — 1945 гг."", директор.",,,,,,,,,
96-767-6,Загидуллина Миляуша Мударисовна,1987-09-22,"Региональная общественная организация ""Аграрное молодежное объединение Республики Татарстан"", председатель.",,,,,,,,,
96-767-6,Зайцев Александр Витальевич,1968-01-14,"КФХ ""Зайцев А.В."", глава.",,,,,,,,,
96-767-6,Зайцев Сергей Юрьевич,1966-04-11,"ЗАО ""Варяг"", генеральный директор.",,,,,,,,,
96-767-6,Зайцева Нина Владимировна,1946-05-22,"ФБУН ""ФНЦ медико-профилактических технологий управления рисками здоровью населения"", директор.",,,,,,,,,
96-767-6,Запашный Аскольд Вальтерович,1977-09-27,"ФКП ""Российская государственная цирковая компания"", артист-дрессировщик.",,,,,,,,,
96-767-6,Запашный Эдгард Вальтерович,1967-07-11,"ФКП ""Российская государственная цирковая компания"", артист-дрессировщик.",,,,,,,,,
96-767-6,Захаревич Юрий Иванович,1963-01-18,"ФОК ""Звезда"", заведующий.",,,,,,,,,
96-767-6,Захаров Владимир Михайлович,1946-07-05,"ГБУК г. Москвы МГАТТ ""Гжель"", художественный руководитель.",,,,,,,,,
96-767-6,Захарченко Виктор Гаврилович,1938-03-22,"государственное бюджетное научно-творческое учреждение Краснодарского края ""Кубанский казачий хор"", художественный руководитель — генеральный директор.",,,,,,,,,
96-767-6,Зеленский Игорь Анатольевич,1969-07-13,"Мариинский театр, г. Санкт-Петербург, балет НГАТОБ и театр ГБУК г. Москвы МАМТ, премьер, художественный руководитель.",,,,,,,,,
96-767-6,Зеликов Николай Иванович,1957-11-29,"Московская областная организация общероссийской общественной организации ""Всероссийское общество инвалидов"", председатель.",,,,,,,,,
96-767-6,Зимовец Владимир Григорьевич,1939-02-07,"закрытое акционерное общество ""Трубный завод ""Профиль-Акрас"" имени Макарова В.В., представитель-консультант.",,,,,,,,,
96-767-6,Золотов Юрий Михайлович,1962-10-29,"автономное учреждение Ямало-Ненецкого автономного округа ""Окружной технологический парк ""Ямал"", директор.",,,,,,,,,
96-767-6,Зятьков Николай Иванович,1950-06-17,"ЗАО ""Аргументы и факты"", главный редактор.",,,,,,,,,
96-767-6,Иванов Александр Евгеньевич,1985-12-14,"краевое государственное бюджетное учреждение ""Алтайский краевой штаб студенческих отрядов"", директор.",,,,,,,,,
96-767-6,Иванов Вадим Александрович,1976-01-30,"автономная некоммерческая организация ""Новгородское областное телевидение"", заместитель генерального директора.",,,,,,,,,
96-767-6,Иванов Валерий Викторович,1960-09-14,"ООО ""Ивановское бюро международного туризма ""Спутник"", директор.",,,,,,,,,
96-767-6,Иванов Геннадий Евгеньевич,1969-09-25,"общество с ограниченной ответственностью ""Порт ""Мечел-Темрюк"", стропальщик 5 разряда комплексной бригады на погрузочно-разгрузочных работах.",,,,,,,,,
96-767-6,Иванов Михаил Владимирович,1961-01-10,"газета ""Невское время"", главный редактор.",,,,,,,,,
96-767-6,Иванова Валентина Николаевна,1954-10-03,"Московский государственный университет технологий и управления имени К.Г. Разумовского, ректор.",,,,,,,,,
96-767-6,Игнатова Галина Афанасьевна,1934-04-14,пенсионер.,,,,,,,,,
96-767-6,Ильина Елена Викторовна,1969-08-08,"ГБОУ ""Детский сад №489"", заведующая.",,,,,,,,,
96-767-6,Ильинский Игорь Михайлович,1936-06-28,"Московский гуманитарный университет, ректор.",,,,,,,,,
96-767-6,Ильичёва Ирина Викторовна,1961-06-10,"ГБОУ города Москвы ""Центр образования №1409"", директор.",,,,,,,,,
96-767-6,Ипатов Александр Андреевич,1944-07-08,пенсионер.,,,,,,,,,
96-767-6,Исаев Илья Федорович,1945-08-03,"федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Белгородский государственный национальный исследовательский университет"", заведующий кафедрой педагогики.",,,,,,,,,
96-767-6,Исинбаева Елена Гаджиевна,1982-06-03,"ФГУ ""Центр спортивной подготовки сборных команд России"", спортсмен-инструктор.",,,,,,,,,
96-767-6,Исрафилов Рафкат Вакилович,1941-08-06,"ГАУК ""Оренбургский государственный областной драматический театр им. М. Горького"", художественный руководитель.",,,,,,,,,
96-767-6,Ищук Алексей Алексеевич,1941-09-28,"ОАО ""НИИМЭ и Микрон"", советник генерального директора.",,,,,,,,,
96-767-6,Кабаков Михаил Григорьевич,1933-01-06,"АКБ ""ИРС"", председатель совета директоров.",,,,,,,,,
96-767-6,Казаков Валерий Николаевич,1952-10-26,"аппарат полномочного представителя Президента Российской Федерации в Сибирском федеральном округе, помощник.",,,,,,,,,
96-767-6,Казаков Сергей Владимирович,1966-08-20,"государственное бюджетное учреждение культуры ""Пензенский областной драматический театр имени А.В. Луначарского"", художественный руководитель театра.",,,,,,,,,
96-767-6,Калинин Валентин Егорович,1938-03-22,"колхоз (сельскохозяйственный производственный кооператив) имени Мичурина Вавожского района, председатель.",,,,,,,,,
96-767-6,Калинин Михаил Рудольфович,1959-05-13,"ЦКБ №2 им. Семашко Н.А. ОАО ""Российские железные дороги"", директор.",,,,,,,,,
96-767-6,Калугин Евгений Иванович,1965-12-07,"Специализированная детско-юношеская спортивная школа Олимпийского резерва по дзюдо, тренер-преподаватель.",,,,,,,,,
96-767-6,Калягин Александр Александрович,1942-05-25,"ГБУК г. Москвы ""Московский театр ""Et Cetera"" под руководством А. Калягина"", художественный руководитель.",,,,,,,,,
96-767-6,Капанина Светлана Владимировна,1968-12-28,"ОАО ""ОКБ Сухого"", летчик-инструктор 1-го класса.",,,,,,,,,
